name,link,origin,birth,origin_point,birth_point,spotify_id,genre
Clarence Ashley,/wiki/Clarence_Ashley,,"Bristol, Tennessee","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-82.215705, 36.565486], ""type"": ""Point""}",62OfrERsnZFWXyaruPhOh7,folk
Dock Boggs,/wiki/Dock_Boggs,,"Norton, Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-82.635784, 36.924988], ""type"": ""Point""}",2NwYS5UK1AbaTljDWp4uh0,folk
Fleming Brown,/wiki/Fleming_Brown,"Chicago, Illinois, U.S.","Marshall, Missouri","{""coordinates"": [-87.66063, 41.87897], ""type"": ""Point""}","{""coordinates"": [-93.201045, 39.117868], ""type"": ""Point""}",49UnGZjjlu82OyuVMDhM8I,folk
Dick Burnett,/wiki/Dick_Burnett_(musician),,"Monticello, Kentucky","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-84.848658, 36.839737], ""type"": ""Point""}",1z8JeSutSvLKcjM4Rkxq35,folk
Sara Carter,/wiki/Sara_Carter,,"Copper Creek, Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-78.376655, 37.73086], ""type"": ""Point""}",59Au2ho6KTcJoeAMPxlv18,folk
Stoney Cooper,/wiki/Stoney_Cooper,,"Harman, West Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-79.524552, 38.921006], ""type"": ""Point""}",151pVpaq4HKrz8omqcssMm,folk
Hazel Dickens,/wiki/Hazel_Dickens,,"Mercer County, West Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-81.106526, 37.421347], ""type"": ""Point""}",2IEiSF4inDSwzQowcQjdfT,folk
Roscoe Holcomb,/wiki/Roscoe_Holcomb,"Daisy, Kentucky, United States",,"{""coordinates"": [-83.09489, 37.11371], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",7JZ7Ok3UaKmZmD5otFfcY3,folk
Kossoy Sisters,/wiki/Kossoy_Sisters,"Greenwich Village, New York City",New York City,"{""coordinates"": [-73.996497, 40.731498], ""type"": ""Point""}","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}",1pJCiTd2Is4hUveBFVFmAe,folk
Wilma Lee,/wiki/Wilma_Lee,,"Valley Head, West Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-80.031903, 38.548346], ""type"": ""Point""}",7Fp4K5Ae9buLa4zha2rp7T,folk
Bascom Lamar Lunsford,/wiki/Bascom_Lamar_Lunsford,,"Mars Hill, North Carolina","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-82.550024, 35.82663], ""type"": ""Point""}",3cV9xElTrvkQXqCShHtpU3,folk
New Lost City Ramblers,/wiki/New_Lost_City_Ramblers,"New York City, New York, United States",,"{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4fqd1tgX1D2YESwxzr2cvd,folk
Jean Ritchie,/wiki/Jean_Ritchie,,"Viper, Kentucky","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-83.14823, 37.18287], ""type"": ""Point""}",7cWhIVoEYJd0oWnxULFt8s,folk
Sam Rizzetta,/wiki/Sam_Rizzetta,,Chicago,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-87.66063, 41.87897], ""type"": ""Point""}",4hNW8xw4NITBHiTynTUPNz,folk
Doc Watson,/wiki/Doc_Watson,,"Deep Gap, North Carolina","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-81.503834, 36.233889], ""type"": ""Point""}",01N1aZStXA4yGvkz4vRXtJ,folk
Uncle Dave Macon,/wiki/Uncle_Dave_Macon,"Nashville, Tennessee",Tennessee,"{""coordinates"": [-86.834683, 36.236907], ""type"": ""Point""}","{""coordinates"": [-86.343764, 35.820245], ""type"": ""Point""}",5Aa1aFuL2vUePqwhMFnxO0,folk
Charlie Poole,/wiki/Charlie_Poole,,"Franklinville, North Carolina","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-80.49895, 35.72125], ""type"": ""Point""}",7FS3EGuBVCs09Mfs23t2Af,folk
Rising Appalachia,/wiki/Rising_Appalachia,"Atlanta, Georgia",,"{""coordinates"": [-84.414581, 33.769805], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",3I6e2ZqqoxQhXc9z7Tp5ci,folk
Fernest Arceneaux,/wiki/Fernest_Arceneaux,,Lafayette,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.031897, 30.211987], ""type"": ""Point""}",7HBcntk6WvaqjA4kLrqA9m,folk
Amédé Ardoin,/wiki/Am%C3%A9d%C3%A9_Ardoin,,"Basile, Evangeline Parish, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.601015, 30.485722], ""type"": ""Point""}",5Qg9EHJc1i9xp7WXArccSz,folk
Chris Ardoin,/wiki/Chris_Ardoin,,"Lake Charles, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-93.213418, 30.203629], ""type"": ""Point""}",3AU7f1EqS89mHHMDHbTQFf,folk
Dewey Balfa,/wiki/Dewey_Balfa,,Louisiana,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.51441, 30.542601], ""type"": ""Point""}",4HNzfw32MdPySNZHapfWgK,folk
BeauSoleil,/wiki/BeauSoleil,"Lafayette, Louisiana, U.S.",,"{""coordinates"": [-92.031897, 30.211987], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",2NBfhrFJmF7o35vK2pndvo,folk
Bobby Charles,/wiki/Bobby_Charles,,"Abbeville, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.127504, 29.972503], ""type"": ""Point""}",1B8vzl6kObOf1cxN4myLS1,folk
Boozoo Chavis,/wiki/Boozoo_Chavis,,"Lake Charles, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-93.213418, 30.203629], ""type"": ""Point""}",0gU00e6HDaZ3hxlR3pZrU0,folk
C. J. Chenier,/wiki/C._J._Chenier,,"Port Arthur, Texas","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-93.89954, 29.682232], ""type"": ""Point""}",2dNbwxgYSvdnMGWsYHJ38j,folk
Clifton Chenier,/wiki/Clifton_Chenier,,Opelousas,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.085363, 30.525943], ""type"": ""Point""}",3LzQVHowQWbzJBwBBNRPfY,folk
Geno Delafose,/wiki/Geno_Delafose,,"Eunice, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.421221, 30.491681], ""type"": ""Point""}",7zKDS8dI38NouMTa55W2xr,folk
John Delafose,/wiki/John_Delafose,,Evangeline Parish,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.401489, 30.727562], ""type"": ""Point""}",4FUWfaBOkbbPUUivMD7M3w,folk
Queen Ida,/wiki/Queen_Ida,,"Lake Charles, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-93.213418, 30.203629], ""type"": ""Point""}",4ownYCUB1wbXdo3eTnakwq,folk
Beau Jocque,/wiki/Beau_Jocque,,"Evangeline Parish, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.401489, 30.727562], ""type"": ""Point""}",7lXjOGZAeqkWTGYKkmVtGW,folk
Rosie Ledet,/wiki/Rosie_Ledet,,"Church Point, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.214207, 30.404692], ""type"": ""Point""}",08Utsn05gzPaciVeIBnkeP,folk
D. L. Menard,/wiki/D._L._Menard,,"Erath, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.034489, 29.956739], ""type"": ""Point""}",1gEdV73o3X847usz85JTGl,folk
Jimmy C. Newman,/wiki/Jimmy_C._Newman,,"Mamou, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.419117, 30.634911], ""type"": ""Point""}",4I2LAvm6wV4SY7sp3qpdDH,folk
Steve Riley and the Mamou Playboys,/wiki/Steve_Riley_and_the_Mamou_Playboys,"Louisiana, United States",,"{""coordinates"": [-92.51441, 30.542601], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",7F8pZngjUPLEQOgYztIhB9,folk
Rockin' Dopsie,/wiki/Rockin%27_Dopsie,,"Carencro, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.039864, 30.312748], ""type"": ""Point""}",72iADHTfbYiwjTmW4AcuL4,folk
Rockin' Sidney,/wiki/Rockin%27_Sidney,,"Lebeau, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-91.97706, 30.73131], ""type"": ""Point""}",328azApStz6rBvBKZsUwvi,folk
Amanda Shaw,/wiki/Amanda_Shaw,,Boston,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-71.048611, 42.355492], ""type"": ""Point""}",5ly5bZR1G4PijTkirVOyFZ,folk
Terrance Simien,/wiki/Terrance_Simien,,"Mallet, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.51441, 30.542601], ""type"": ""Point""}",2pBpjXBKJtxmlzjk5OjaRi,folk
Jo-El Sonnier,/wiki/Jo-El_Sonnier,,"Rayne, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.267615, 30.23948], ""type"": ""Point""}",6TdaDpGBUyjeHtwQfMNoOF,folk
Nathan Williams,/wiki/Nathan_Williams_(Zydeco),,St. Martinville,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-91.827771, 30.126533], ""type"": ""Point""}",2OHypU9FnBtbHK18a9OFa3,folk
Buckwheat Zydeco,/wiki/Buckwheat_Zydeco,,"Lafayette, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.031897, 30.211987], ""type"": ""Point""}",31ioFU3ADV6npBP7ykNvtF,folk
The Accidentals,/wiki/The_Accidentals,"Traverse City, Michigan, United States",,"{""coordinates"": [-85.590344, 44.755631], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",5JqJWTzD2wSWAp7UmFSP5x,folk
Kasey Chambers,/wiki/Kasey_Chambers,"Adelaide, South Australia, Australia","Mount Gambier, South Australia","{""coordinates"": [138.602578, -34.929075], ""type"": ""Point""}","{""coordinates"": [140.775335, -37.826477], ""type"": ""Point""}",6uATIQFyydDXPc2RlLzcUE,folk
Derroll Adams,/wiki/Derroll_Adams,,"Portland, Oregon","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-122.650095, 45.533467], ""type"": ""Point""}",0dcbZPNrE1zejMbLyUKxqd,folk
A Fragile Tomorrow,/wiki/A_Fragile_Tomorrow,"Montgomery, New York, United States",,"{""coordinates"": [-74.231774, 41.560212], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",36j3p0TaCqKs24aXWiFY1X,folk
The Almanac Singers,/wiki/The_Almanac_Singers,New York City,,"{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",6FJhtg2UjgNZk9e8tf6Zew,folk
Eric Andersen,/wiki/Eric_Andersen,,Pittsburgh,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-79.936309, 40.450508], ""type"": ""Point""}",6t2MHOFOYTYNUXi9CNjP5A,folk
Jamie Anderson,/wiki/Jamie_Anderson_(musician),,"Tucson, Arizona","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-110.828987, 32.19709], ""type"": ""Point""}",3QeUcfxQWae16K2zOaagyG,folk
Devendra Banhart,/wiki/Devendra_Banhart,,Houston,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-95.361416, 29.784753], ""type"": ""Point""}",1YZEoYFXx4AxVv13OiOPvZ,folk
Dan Bern,/wiki/Dan_Bern,,"Mount Vernon, Iowa","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-91.424348, 41.922991], ""type"": ""Point""}",73CZu9benZbhuQwq2NDuWL,folk
Leon Bibb,/wiki/Leon_Bibb_(musician),,"Louisville, Kentucky","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-85.776881, 38.141177], ""type"": ""Point""}",6h6rvsubMjxNgb5fvOo1mP,folk
Theodore Bikel,/wiki/Theodore_Bikel,,"Vienna, Austria","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [16.348388, 48.198674], ""type"": ""Point""}",67p0NB8haJlULQy2gr4iKZ,folk
Billy Pilgrim,/wiki/Billy_Pilgrim_(group),United States,,"{""coordinates"": [-96.999246, 39.71614], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4rMdzVjq1qqizATeZrjn6l,folk
David Blue,/wiki/David_Blue_(musician),,Providence,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-71.419697, 41.826948], ""type"": ""Point""}",3gDmirZwdIYHGozUPScwgK,folk
Hugh Blumenfeld,/wiki/Hugh_Blumenfeld,,"Jamaica, Queens","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.795405, 40.70009], ""type"": ""Point""}",4ZNUlHvnHjxbxpzOkmkSwR,folk
Dock Boggs,/wiki/Dock_Boggs,,"Norton, Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-82.635784, 36.924988], ""type"": ""Point""}",2NwYS5UK1AbaTljDWp4uh0,folk
Gordon Bok,/wiki/Gordon_Bok,,Camden,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-0.163523, 51.543487], ""type"": ""Point""}",3ADqA3QBx9iTf6nfre13tr,folk
Ralston Bowles,/wiki/Ralston_Bowles,,"Gary, Indiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-87.346784, 41.589885], ""type"": ""Point""}",3JFJI7eRCGer7MGFJKOyot,folk
Oscar Brand,/wiki/Oscar_Brand,,"Winnipeg, Manitoba","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-97.138026, 49.874557], ""type"": ""Point""}",4moVbJTrAlRWytpFB8GjTz,folk
Brewer & Shipley,/wiki/Brewer_%26_Shipley,United States,,"{""coordinates"": [-96.999246, 39.71614], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4bx9rfUR9C0H26TEiVCwdi,folk
Chuck Brodsky,/wiki/Chuck_Brodsky,,Philadelphia,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-75.168428, 39.990821], ""type"": ""Point""}",2I1XI3eYHcCcfVM4rXCrvK,folk
David Bromberg,/wiki/David_Bromberg,,"Philadelphia, Pennsylvania","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-75.168428, 39.990821], ""type"": ""Point""}",0SOCskFcUcLj7Ful8w8KrL,folk
Jonatha Brooke,/wiki/Jonatha_Brooke,,Illinois,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-89.191575, 40.265028], ""type"": ""Point""}",3djsIvG79aMILDWDNiyChc,folk
The Brothers Four,/wiki/The_Brothers_Four,"Seattle, Washington, U.S.",,"{""coordinates"": [-122.331537, 47.673455], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",0nd3tsqHVtnAWBCQgwtbIz,folk
Greg Brown,/wiki/Greg_Brown_(folk_musician),,"Fairfield, Iowa","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-91.963301, 41.006904], ""type"": ""Point""}",0nnDCl6emTFoWtygqSs4Jy,folk
Tim Buckley,/wiki/Tim_Buckley,,"Washington, D.C.","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-77.01712, 38.82652], ""type"": ""Point""}",6zHRqvws8dVeqL8D31ponr,folk
David Buskin,/wiki/David_Buskin,,"New York City, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}",5MIUrmZEljn4H07pYXtXSN,folk
Andrew Calhoun,/wiki/Andrew_Calhoun,,"New Haven, Connecticut","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-72.925298, 41.308659], ""type"": ""Point""}",3w6ZSnKTU0HUe00F6yKyWG,folk
Hamilton Camp,/wiki/Hamilton_Camp,,"[1], London","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [120.944016, 14.35107], ""type"": ""Point""}",5ND1l6L0UQD7KoAnMupeYY,folk
Mary Chapin Carpenter,/wiki/Mary_Chapin_Carpenter,,"Princeton, New Jersey","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-74.672885, 40.354435], ""type"": ""Point""}",0qAmeOULjwn04k6jMMeDyr,folk
Liz Carroll,/wiki/Liz_Carroll,,"Chicago, Illinois","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-87.66063, 41.87897], ""type"": ""Point""}",69WY727rgGm0EpEd7NSUHM,folk
Dave Carter,/wiki/Dave_Carter,,"Oxnard, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-119.180285, 34.195054], ""type"": ""Point""}",3DQlT4YRvt7NCncG9Pk3bE,folk
Chad Mitchell Trio,/wiki/Chad_Mitchell_Trio,"Spokane, Washington, United States",,"{""coordinates"": [-117.4058, 47.660011], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",5WpHJJKKIF62r8hJfWUwID,folk
Len Chandler,/wiki/Len_Chandler,,"Akron, Ohio","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-81.538266, 41.078013], ""type"": ""Point""}",641w67BH81V0VVhxM1Tkya,folk
Tracy Chapman,/wiki/Tracy_Chapman,,"Cleveland, Ohio","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-81.651327, 41.496551], ""type"": ""Point""}",7oPgCQqMMXEXrNau5vxYZP,folk
Cherish the Ladies,/wiki/Cherish_the_Ladies,New York City,,"{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",2IMfWWTIcBjATtXsM4GHej,folk
Vic Chesnutt,/wiki/Vic_Chesnutt,"Athens, Georgia, U.S.","Jacksonville, Florida","{""coordinates"": [-83.358855, 33.95759], ""type"": ""Point""}","{""coordinates"": [-81.660992, 30.369914], ""type"": ""Point""}",7EFfGZiKL1Ud3cspnlMq4H,folk
Meg Christian,/wiki/Meg_Christian,,"Lynchburg, Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-79.14225, 37.41375], ""type"": ""Point""}",2rf5kr52MmpgrluGfCSAsS,folk
The Civil Wars,/wiki/The_Civil_Wars,"Nashville, Tennessee, U.S.",,"{""coordinates"": [-86.834683, 36.236907], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",6J7rw7NELJUCThPbAfyLIE,folk
Paul Clayton,/wiki/Paul_Clayton_(folksinger),,"New Bedford, Massachusetts","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-70.9457, 41.667736], ""type"": ""Point""}",0OP3vGdafC4R9cXSoyRm9B,folk
Shana Cleveland,/wiki/Shana_Cleveland,,"Kalamazoo, Michigan","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-85.587168, 42.274924], ""type"": ""Point""}",5E6dR5oDjhT39zr1YuXRq0,folk
Judy Collins,/wiki/Judy_Collins,"Denver, Colorado, U.S.","Seattle, Washington","{""coordinates"": [-104.985798, 39.740959], ""type"": ""Point""}","{""coordinates"": [-122.331537, 47.673455], ""type"": ""Point""}",5yzE49FicYiSxN61oaxkNn,folk
Shawn Colvin,/wiki/Shawn_Colvin,"Carbondale, Illinois, U.S.","Vermillion, South Dakota","{""coordinates"": [-89.222269, 37.721252], ""type"": ""Point""}","{""coordinates"": [-96.924403, 42.783249], ""type"": ""Point""}",0K7VN4aHxHcEb7PqkfoIVA,folk
Annette Conlon,/wiki/Annette_Conlon,"Colorado Springs, Colorado, U.S.",Ohio,"{""coordinates"": [-104.813228, 38.875356], ""type"": ""Point""}","{""coordinates"": [-82.883453, 40.262259], ""type"": ""Point""}",31ROIrco1CXetL8ZbkYatx,folk
Matt Costa,/wiki/Matt_Costa,,"Huntington Beach, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-117.999037, 33.678349], ""type"": ""Point""}",0EghvcisxKybq4CVO7rB5t,folk
Elizabeth Cotten,/wiki/Elizabeth_Cotten,,"Carrboro, North Carolina","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-79.087302, 35.921241], ""type"": ""Point""}",1eTZGzLkukATM7FoGltyFs,folk
Jim Croce,/wiki/Jim_Croce,,Philadelphia,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-75.168428, 39.990821], ""type"": ""Point""}",1R6Hx1tJ2VOUyodEpC12xM,folk
Sis Cunningham,/wiki/Sis_Cunningham,"Watonga, Oklahoma, U.S.",,"{""coordinates"": [-98.416206, 35.849614], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",65Q1w5t5usDLaJN4o3NxPU,folk
Catie Curtis,/wiki/Catie_Curtis,"Boston, Massachusetts, U.S.",,"{""coordinates"": [-71.048611, 42.355492], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4WB32sqN839h5BEYYXTeNE,folk
Barbara Dane,/wiki/Barbara_Dane,,Detroit,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-83.164558, 42.398648], ""type"": ""Point""}",7htyUKqAPLpbTA9nkEhGRf,folk
Erik Darling,/wiki/Erik_Darling,,"Baltimore, Maryland","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-76.649533, 39.319732], ""type"": ""Point""}",10d2A1Q9bdMCwYnh1yp4rI,folk
Grey DeLisle,/wiki/Grey_DeLisle,,"Fort Ord, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-118.893161, 34.214603], ""type"": ""Point""}",2crxUkgEZN8zedQMY49EOt,folk
Kris Delmhorst,/wiki/Kris_Delmhorst,United States,Brooklyn,"{""coordinates"": [-96.999246, 39.71614], ""type"": ""Point""}","{""coordinates"": [-73.956582, 40.652256], ""type"": ""Point""}",05dHTLCAf68OSX0me9Tmfx,folk
Iris DeMent,/wiki/Iris_DeMent,,"Paragould, Arkansas","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-90.520097, 36.052242], ""type"": ""Point""}",3NPZs8XgXtaWslUcnIw6rY,folk
John Denver,/wiki/John_Denver,,"Roswell, New Mexico","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-104.530202, 33.398291], ""type"": ""Point""}",7EK1bQADBoqbYXnT4Cqv9w,folk
Ani DiFranco,/wiki/Ani_DiFranco,,"Buffalo, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-78.852918, 42.890831], ""type"": ""Point""}",0AiTwNtYX8m4uhfU7rJ8RD,folk
Alice Di Micele,/wiki/Alice_Di_Micele,,"Elizabeth, New Jersey","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-74.186213, 40.666597], ""type"": ""Point""}",5GTLKa7etYFhkKklJyoSgX,folk
disappear fear,/wiki/Disappear_fear,"Baltimore, Maryland, United States",,"{""coordinates"": [-76.649533, 39.319732], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",3w9VdyLCuydUbddlqD0IWj,folk
Alix Dobkin,/wiki/Alix_Dobkin,,"New York, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}",52HZJF62jc0beCkLpAbo93,folk
DW (Dave) Drouillard,/wiki/DW_(Dave)_Drouillard,,"Buffalo, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-78.852918, 42.890831], ""type"": ""Point""}",4bsWHdJkFtq1r3TcXtKGdv,folk
Antje Duvekot,/wiki/Antje_Duvekot,"Philadelphia, Pennsylvania, United States","Heidelberg, West Germany","{""coordinates"": [-75.168428, 39.990821], ""type"": ""Point""}","{""coordinates"": [9.687096, 50.970097], ""type"": ""Point""}",31XQG7XFy8NkgA1ZLPZM3S,folk
Bob Dylan,/wiki/Bob_Dylan,,"Duluth, Minnesota","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.124905, 46.798069], ""type"": ""Point""}",74ASZWbe4lXaubB36ztrGX,folk
Eddie from Ohio,/wiki/Eddie_from_Ohio,"Virginia, United States",,"{""coordinates"": [-78.376655, 37.73086], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",2DVqRDtPOOCl9gbzlhJkZg,folk
Cass Elliot,/wiki/Cass_Elliot,,Baltimore,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-76.649533, 39.319732], ""type"": ""Point""}",5jX7X3kRkfJTRqAdT7RcHk,folk
Ramblin' Jack Elliott,/wiki/Ramblin%27_Jack_Elliott,"Brooklyn, New York, United States",,"{""coordinates"": [-73.956582, 40.652256], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",6iuM8yp1x2N0l6SONhyq4b,folk
Mark Erelli,/wiki/Mark_Erelli,,"Boston, Massachusetts","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-71.048611, 42.355492], ""type"": ""Point""}",7s3wus2jgjwHQXjFXAQfB2,folk
John Fahey,/wiki/John_Fahey_(musician),,"Washington, D.C.","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-77.01712, 38.82652], ""type"": ""Point""}",4js8BDiQwnHLlDmT1shPH7,folk
Mimi Fariña,/wiki/Mimi_Fari%C3%B1a,,Palo Alto,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-122.127302, 37.431169], ""type"": ""Point""}",3CCf0ToNoY3qXMCnVJrSop,folk
