name,link,origin,birth,origin_point,birth_point,spotify_id,genre
Tom Paxton,/wiki/Tom_Paxton,,"Chicago, Illinois","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-87.66063, 41.87897], ""type"": ""Point""}",55kipiKplrHBCZN6L1gtrv,folk
Ellis Paul,/wiki/Ellis_Paul,"Boston, Massachusetts, U.S.","Fort Kent, Maine","{""coordinates"": [-71.048611, 42.355492], ""type"": ""Point""}","{""coordinates"": [-68.580421, 47.259417], ""type"": ""Point""}",6zbmVVtvsmXRGWGgfjlE35,folk
Alice Peacock,/wiki/Alice_Peacock,"White Bear Lake, Minnesota, U.S.",,"{""coordinates"": [-93.014531, 45.054887], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",58UCFxYeO9fczztva9OyEY,folk
"Peter, Paul & Mary","/wiki/Peter,_Paul_%26_Mary","New York City, U.S.",,"{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",6yrBBtqX2gKCHCrZOYBDrB,folk
Gretchen Peters,/wiki/Gretchen_Peters,,"Bronxville, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.826451, 40.939469], ""type"": ""Point""}",1DSLJBOwoz0HhiFMIKhZxe,folk
Utah Phillips,/wiki/Utah_Phillips,,Cleveland,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-81.651327, 41.496551], ""type"": ""Point""}",5RLF6ZZByoDWUVg6kjBk0z,folk
Phranc,/wiki/Phranc,,"Santa Monica, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-118.479052, 34.021711], ""type"": ""Point""}",4C9tHOnOA0dM82s17rmKjF,folk
John Prine,/wiki/John_Prine,,"Maywood, Illinois","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-87.843891, 41.879553], ""type"": ""Point""}",0nJUwPwC9Ti4vvuJ0q3MfT,folk
Chris Pureka,/wiki/Chris_Pureka,,"[1], Connecticut","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-117.794705, 33.710663], ""type"": ""Point""}",0TcLzrilnmNFyaTgLULSg3,folk
Joshua Radin,/wiki/Joshua_Radin,"Cleveland, Ohio, U.S.",,"{""coordinates"": [-81.651327, 41.496551], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",7omzannyG2lfDqP5xyZo34,folk
Ratsy,/wiki/Ratsy,,Jackson,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-90.229913, 32.30835], ""type"": ""Point""}",5OlARALdX4igefmFOROcjB,folk
Toshi Reagon,/wiki/Toshi_Reagon,"Washington, D.C.","Atlanta, Georgia","{""coordinates"": [-77.01712, 38.82652], ""type"": ""Point""}","{""coordinates"": [-84.414581, 33.769805], ""type"": ""Point""}",1WUAzIurvlhaWxB7fpcuOM,folk
Rebecca Riots,/wiki/Rebecca_Riots_(band),"Berkeley, California, US",,"{""coordinates"": [-122.297864, 37.865832], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",3rm5p2jVWAzX5ZbGocbTNB,folk
Red Molly,/wiki/Red_Molly,New York,,"{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",2fV3UnBvyFUPV6JQJJZOv2,folk
Malvina Reynolds,/wiki/Malvina_Reynolds,,"San Francisco, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-122.431272, 37.778008], ""type"": ""Point""}",5fhMeS3lpUqUpTNuAxU2rN,folk
