name,link,origin,birth
Bully,/wiki/Bully_(band),"Nashville, Tennessee, U.S.",
Bush,/wiki/Bush_(British_band),"London, England",
Butthole Surfers,/wiki/Butthole_Surfers,"San Antonio, Texas, U.S.",
The Cab,/wiki/The_Cab,"Las Vegas, Nevada, U.S.",
Caesars,/wiki/Caesars_(band),"Stockholm, Sweden",
Cage the Elephant,/wiki/Cage_the_Elephant,"Bowling Green, Kentucky, U.S.",
Cake,/wiki/Cake_(band),"Sacramento, California, U.S.",
The Calling,/wiki/The_Calling_(band),"Los Angeles, California, U.S.",
Camper Van Beethoven,/wiki/Camper_Van_Beethoven,"Redlands, California, U.S.",
Candlebox,/wiki/Candlebox,"Seattle, Washington",
Candy Flip,/wiki/Candy_Flip,"Stoke-on-Trent, England",
Canterbury,/wiki/Canterbury_(band),"Basingstoke, Hampshire, England",
Carbon Leaf,/wiki/Carbon_Leaf,"Richmond, Virginia",
The Cardigans,/wiki/The_Cardigans,"Jönköping, Sweden",
Caribou,/wiki/Dan_Snaith,"Dundas, Ontario, Canada",
Carolina Liar,/wiki/Carolina_Liar,"Moncks Corner, South Carolina, U.S.Stockholm, Sweden",
Cartel,/wiki/Cartel_(band),"Conyers, Georgia, U.S.",
Carter the Unstoppable Sex Machine,/wiki/Carter_the_Unstoppable_Sex_Machine,"London, England",
Cast,/wiki/Cast_(band),"Liverpool, England",
The Cat Empire,/wiki/The_Cat_Empire,"Melbourne, Victoria, Australia",
Cat Power,/wiki/Cat_Power,,"Atlanta, Georgia"
Catatonia,/wiki/Catatonia_(band),"Cardiff, Wales",
Catherine,/wiki/Catherine_(alternative_rock_band),"Chicago, Illinois, U.S.",
Catherine Wheel,/wiki/Catherine_Wheel_(band),"Great Yarmouth, England, United Kingdom",
Cave In,/wiki/Cave_In,"Methuen, Massachusetts, U.S.",
Caveman,/wiki/Caveman_(American_band),"Brooklyn, New York, United States",
Cell,/wiki/Cell_(American_band),"New York City, New York, USA",
Chad Kroeger,/wiki/Chad_Kroeger,,"Hanna, Alberta"
The Charlatans,/wiki/The_Charlatans_(English_band),"West Midlands, England",
Charlie Simpson,/wiki/Charlie_Simpson,,"Woodbridge, Suffolk"
Chevelle,/wiki/Chevelle_(band),"Grayslake, Illinois, U.S.",
The Chills,/wiki/The_Chills,"Dunedin, South Island, New Zealand",
Chimera,/wiki/Chimera_(Russian_band),"St. Petersburg, Russia",
Chris Cornell,/wiki/Chris_Cornell,,"Seattle, Washington"
Chris Martin,/wiki/Chris_Martin,"London, England","Exeter, Devon"
Chumbawamba,/wiki/Chumbawamba,"Burnley, Lancashire, and Leeds, West Yorkshire, England",
The Church,/wiki/The_Church_(band),"Sydney, Australia",
Chvrches,/wiki/Chvrches,"Glasgow, Scotland",
The Cinematics,/wiki/The_Cinematics,"Glasgow, Scotland, UK",
Circa Survive,/wiki/Circa_Survive,"Philadelphia, Pennsylvania, U.S.",
Circus Diablo,/wiki/Circus_Diablo,"Los Angeles, California, U.S.",
Citizen Cope,/wiki/Citizen_Cope,"Washington, D.C., U.S.","Memphis, Tennessee"
Citizen King,/wiki/Citizen_King,"Milwaukee, Wisconsin, United States",
Civil Twilight,/wiki/Civil_Twilight_(band),"Cape Town, South Africa",
Clap Your Hands Say Yeah,/wiki/Clap_Your_Hands_Say_Yeah,"Philadelphia, PennsylvaniaBrooklyn, New York, U.S.",
The Classic Crime,/wiki/The_Classic_Crime,"Seattle, Washington, US",
Cloud Control,/wiki/Cloud_Control,"Blue Mountains, NSW, Australia",
Cloud Nothings,/wiki/Cloud_Nothings,"Cleveland, Ohio, U.S.",
The Clouds,/wiki/The_Clouds_(Australian_band),"Sydney, Australia",
Cobra Starship,/wiki/Cobra_Starship,"New York City, New York, United States",
Coheed and Cambria,/wiki/Coheed_and_Cambria,"Nyack, New York, United States",
Cold,/wiki/Cold_(band),"Jacksonville, Florida, U.S.",
Cold War Kids,/wiki/Cold_War_Kids,"Long Beach, California, U.S.",
Coldplay,/wiki/Coldplay,"London, England",
Coldrain,/wiki/Coldrain,"Nagoya, Aichi, Japan",
Collective Soul,/wiki/Collective_Soul,"Stockbridge, Georgia, U.S.",
The Colourist,/wiki/The_Colourist,"Orange County, California, U.S.",
Company of Thieves,/wiki/Company_of_Thieves_(band),"Chicago, Illinois, United States",
Concrete Blonde,/wiki/Concrete_Blonde,"Los Angeles, California",
The Connells,/wiki/The_Connells,"Raleigh, North Carolina, United States",
The Constellations,/wiki/The_Constellations,"Atlanta, Georgia, U.S.",
Copeland,/wiki/Copeland_(band),"Lakeland, Florida, US",
The Coral Sea,/wiki/The_Coral_Sea_(band),"California, United States",
Counting Crows,/wiki/Counting_Crows,"San Francisco Bay Area, California, United States",
Courtney Love,/wiki/Courtney_Love,"Portland, Oregon, U.S.","San Francisco, California"
The Cramps,/wiki/The_Cramps,"New York City, U.S.",
The Cranberries,/wiki/The_Cranberries,"Limerick, Ireland",
Crash Test Dummies,/wiki/Crash_Test_Dummies,"Winnipeg, Manitoba, Canada",
The Creatures,/wiki/The_Creatures,"London, England",
Creed,/wiki/Creed_(band),"Tallahassee, Florida, U.S.",
The Cribs,/wiki/The_Cribs,"Wakefield, England",
Croc Shop,/wiki/Croc_Shop,"New Jersey, U.S.A.Berlin, Germany",
Crossfade,/wiki/Crossfade_(band),"Columbia, South Carolina, U.S.",
Crowded House,/wiki/Crowded_House,"Melbourne, Victoria, Australia",
Crystal Antlers,/wiki/Crystal_Antlers,"Long Beach, California",
Crystal Castles,/wiki/Crystal_Castles,"Toronto, Ontario, Canada",
The Cult,/wiki/The_Cult,"Bradford, England",
Cults,/wiki/Cults_(band),"Manhattan, New York, U.S.",
The Cure,/wiki/The_Cure,"Crawley, West Sussex, England",
Curve,/wiki/Curve_(band),"London, England",
Cute Is What We Aim For,/wiki/Cute_Is_What_We_Aim_For,"Buffalo, New York, United States",
Cymbals Eat Guitars,/wiki/Cymbals_Eat_Guitars,New York City,
Daisy Chainsaw,/wiki/Daisy_Chainsaw,"London, England, United Kingdom",
The Damned,/wiki/The_Damned_(band),"London, England",
Dan Auerbach,/wiki/Dan_Auerbach,,"Wooster, Ohio"
Dan Reynolds,/wiki/Dan_Reynolds_(singer),,"Las Vegas, Nevada"
The Dandy Warhols,/wiki/The_Dandy_Warhols,"Portland, Oregon, United States",
The Dangerous Summer,/wiki/The_Dangerous_Summer_(band),"Ellicott City, Maryland, U.S.",
Daniel Amos,/wiki/Daniel_Amos,"Southern California, U.S.",
Daniel Johnston,/wiki/Daniel_Johnston,"New Cumberland, West Virginia, U.S.","[1], Sacramento, California"
Dark New Day,/wiki/Dark_New_Day,United States,
The Darling Buds,/wiki/The_Darling_Buds,"Newport, Wales",
Das Damen,/wiki/Das_Damen,"New York City, U.S.",
Dashboard Confessional,/wiki/Dashboard_Confessional,"Boca Raton, Florida, U.S.",
The Datsuns,/wiki/The_Datsuns,"Cambridge, New Zealand",
Daughtry,/wiki/Daughtry_(band),"McLeansville, North Carolina, U.S.",
Dave Gahan,/wiki/Dave_Gahan,,"Epping, Essex"
Dave Grohl,/wiki/Dave_Grohl,"Washington, D.C.","Warren, Ohio"
Dave Matthews Band,/wiki/Dave_Matthews_Band,"Charlottesville, Virginia, U.S.",
Dave Navarro,/wiki/Dave_Navarro,,"Santa Monica, California"
Davey Havok,/wiki/Davey_Havok,"Ukiah, California, U.S.","Rochester, New York"
Days Of The New,/wiki/Days_Of_The_New,"Charlestown, Indiana, U.S.",
The dB's,/wiki/The_dB%27s,New York City,
Deacon Blue,/wiki/Deacon_Blue,"Glasgow, Scotland",
