name,link,origin,birth,origin_point,birth_point,genre,spotify_id
Lou Johnson,/wiki/Lou_Johnson_(singer),,"Brooklyn, New York, United States",POINT (100.77522 18.776703),POINT (-73.956582 40.652256),soul,2nrn5Hfpxg0SfuVLbnHwoL
Mable John,/wiki/Mable_John,,"Bastrop, Louisiana",POINT (100.77522 18.776703),POINT (-91.91261 32.776385),soul,2WKCi6dbtPIPiUzqSJWKRn
Nick Jonas,/wiki/Nick_Jonas,,"Dallas, Texas",POINT (100.77522 18.776703),POINT (-96.784359 32.736212),soul,4Rxn7Im3LGfyRkY2FlHhWi
Ruby Johnson,/wiki/Ruby_Johnson,,"Elizabeth City, North Carolina",POINT (100.77522 18.776703),POINT (-76.223241 36.294457),soul,3Ci7S0VYHH1UG5zJanPBU2
Syl Johnson,/wiki/Syl_Johnson,,"Holly Springs, Mississippi",POINT (100.77522 18.776703),POINT (-89.97786 31.31573),soul,6XItHNeKXecnFpkJHOn5JL
Syleena Johnson,/wiki/Syleena_Johnson,"Chicago, Illinois, U.S.","Harvey, Illinois",POINT (-87.66063 41.87897),POINT (-87.651521 41.611993),soul,1lE6SEy8f84Zhjvp7r8yTD
Tom Jones,/wiki/Tom_Jones_(singer),,Treforest,POINT (100.77522 18.776703),POINT (-3.32474 51.59353),soul,1T0wRBO0CK0vK8ouUMqEl5
Booker T. Jones,/wiki/Booker_T._Jones,,"Memphis, Tennessee",POINT (100.77522 18.776703),POINT (-89.954644 35.112125),soul,6J3pUmw6KX1LqyLQkP0k9U
Gloria Jones,/wiki/Gloria_Jones,"Los Angeles, California, U.S.","Cincinnati, Ohio",POINT (-118.25703 34.05513),POINT (-84.544084 39.147604),soul,08BQmH2M3Ew9XjMHaHsl1l
Linda Jones,/wiki/Linda_Jones,,"Newark, New Jersey",POINT (100.77522 18.776703),POINT (-74.185148 40.718619),soul,7erYZsfekXYGWvup1bnkUZ
Sharon Jones,/wiki/Sharon_Jones_(singer),"New York City, U.S.","Augusta, Georgia",POINT (-73.9708 40.68295),POINT (-81.984981 33.460812),soul,6LufpoVlIYKQCu9Gjpk8B7
Louis Jordan,/wiki/Louis_Jordan,,Brinkley,POINT (100.77522 18.776703),POINT (139.22213 -35.23001),soul,2nRbxpnBMMbtMBWH5QdqH2
JP Cooper,/wiki/JP_Cooper,,"Middleton, Greater Manchester",POINT (100.77522 18.776703),POINT (-2.2 53.55),soul,4kYGAK2zu9EAomwj3hXkXy
Eddie Kendricks,/wiki/Eddie_Kendricks,"Ensley, Alabama, U.S.","Union Springs, Alabama",POINT (-86.8861 33.50955),POINT (-85.714695 32.139871),soul,2Uuon75BhnuuxdKLYn4wHn
Kiana Ledé,/wiki/Kiana_Led%C3%A9,,"Phoenix, Arizona",POINT (100.77522 18.776703),POINT (-112.070892 33.60503),soul,7jZMxhsB8djyIbYmoiJSTs
Kehlani,/wiki/Kehlani,,"Oakland, California",POINT (100.77522 18.776703),POINT (-122.197811 37.785199),soul,0cGUm45nv7Z6M6qdXYQGTX
Khalid,/wiki/Khalid_(singer),"El Paso, Texas, U.S.","Fort Stewart, Georgia",POINT (-106.488793 31.818409),POINT (-81.51761 31.86271),soul,6LuN9FCkKOj5PcnpouEgny
Chaka Khan,/wiki/Chaka_Khan,,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),soul,6mQfAAqZGBzIfrmlZCeaYT
Kindred the Family Soul,/wiki/Kindred_the_Family_Soul,"Philadelphia, Pennsylvania, United States",,POINT (-75.168428 39.990821),,soul,3RDl7kNfhB72Ojsc2qiyfy
Theola Kilgore,/wiki/Theola_Kilgore,"Oakland, California, U.S.",Shreveport,POINT (-122.197811 37.785199),POINT (-93.764207 32.467848),soul,4jm8xhmqyCBVgQxDhfgxmt
Ben E. King,/wiki/Ben_E._King,"Harlem, New York, U.S.","Henderson, North Carolina",POINT (-73.941371 40.809139),POINT (-78.418699 36.329077),soul,3plJVWt88EqjvtuB4ZDRV3
Carole King,/wiki/Carole_King,,[1],POINT (100.77522 18.776703),POINT (87.18018 27.23006),soul,319yZVtYM9MBGqmSQnMyY6
King Curtis,/wiki/King_Curtis,,"Fort Worth, Texas",POINT (100.77522 18.776703),POINT (-97.33181 32.729442),soul,0WxOgeRxUt0MwPrI7A5atQ
Michael Kiwanuka,/wiki/Michael_Kiwanuka,,Muswell Hill,POINT (100.77522 18.776703),POINT (-0.140587 51.592348),soul,0bzfPKdbXL5ezYW2z3UGQj
Beverley Knight,/wiki/Beverley_Knight,,Wolverhampton,POINT (100.77522 18.776703),POINT (-2.125093 52.586814),soul,30AzZL0valZQ62OIQiFWvk
Frederick Knight,/wiki/Frederick_Knight_(singer),,"Birmingham, Alabama",POINT (100.77522 18.776703),POINT (-86.800929 33.530651),soul,3X7yeRPAqw2O76f84A2r9U
Gladys Knight & the Pips,/wiki/Gladys_Knight_%26_the_Pips,"Atlanta, Georgia, U.S.",,POINT (-84.414581 33.769805),,soul,0TF2NxkJZPQoX1H53rEFM1
Jean Knight,/wiki/Jean_Knight,,"New Orleans, Louisiana",POINT (100.77522 18.776703),POINT (-89.889852 30.056708),soul,2Tk0pWxTuQgnE5nsUexrLr
Lenny Kravitz,/wiki/Lenny_Kravitz,,"[1], New York City",POINT (100.77522 18.776703),POINT (-73.9708 40.68295),soul,5gznATMVO85ZcLTkE9ULU7
Lucky Daye,/wiki/Lucky_Daye,,New Orleans,POINT (100.77522 18.776703),POINT (-89.889852 30.056708),soul,5Vuvs6Py2JRU7WiFDVsI7J
Lee Fields,/wiki/Lee_Fields,"Plainfield, New Jersey, United States","Wilson, North Carolina",POINT (-74.411727 40.613736),POINT (-77.925115 35.730745),soul,3MAzDpqE01xyUmzNsc0Ee0
Labelle,/wiki/Labelle,"Philadelphia, Pennsylvania, U.S.",,POINT (-75.168428 39.990821),,soul,3DznKagEU8yMQZR9z33Da5
Patti LaBelle,/wiki/Patti_LaBelle,,"Philadelphia, Pennsylvania",POINT (100.77522 18.776703),POINT (-75.168428 39.990821),soul,0ty0xha1dbprYIUAQufkFn
Steve Lacy,/wiki/Steve_Lacy_(guitarist),,"Compton, California",POINT (100.77522 18.776703),POINT (-118.225034 33.890464),soul,57vWImR43h4CaDao012Ofp
Major Lance,/wiki/Major_Lance,,"Winterville, Mississippi, [1]",POINT (100.77522 18.776703),POINT (-77.3991 35.527848),soul,7onp6ew3LGoQImTt1I78gt
Amel Larrieux,/wiki/Amel_Larrieux,,New York City,POINT (100.77522 18.776703),POINT (-73.9708 40.68295),soul,4hVcxmC7igpot32EzQf7IR
Denise LaSalle,/wiki/Denise_LaSalle,,"[1], [2], [3], Leflore County, Mississippi, [1]",POINT (100.77522 18.776703),POINT (5.378211 43.293921),soul,0GVO1kqJHVxOarPgex9K15
Latimore,/wiki/Latimore_(musician),,Charleston,POINT (100.77522 18.776703),POINT (-79.948209 32.795293),soul,0nVQLK3LSM9SFP5xp64D7a
Bettye LaVette,/wiki/Bettye_LaVette,,Muskegon,POINT (100.77522 18.776703),POINT (-86.234576 43.233709),soul,55U998XxmxjicLMKDSz6R3
Ledisi,/wiki/Ledisi,,"New Orleans, Louisiana",POINT (100.77522 18.776703),POINT (-89.889852 30.056708),soul,60ciIY5MouLc2Y9n34DJdA
Amos Lee,/wiki/Amos_Lee,"Philadelphia, Pennsylvania, U.S.",,POINT (-75.168428 39.990821),,soul,0QrowybipCKUDnq5y10PD2
Laura Lee,/wiki/Laura_Lee_(singer-songwriter),,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),soul,0ApoVi8QEh35twomSXh9TX
John Legend,/wiki/John_Legend,,"Springfield, Ohio",POINT (100.77522 18.776703),POINT (-83.794635 39.930483),soul,5y2Xq6xcjJb2jVM54GHK3t
Ravyn Lenae,/wiki/Ravyn_Lenae,,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),soul,5RTLRtXjbXI2lSXc6jxlAz
Ari Lennox,/wiki/Ari_Lennox,,"Washington, D.C.",POINT (100.77522 18.776703),POINT (-77.01712 38.82652),soul,1vaQ6v3pOFxAIrFoPrAcom
Lemar,/wiki/Lemar,,"Tottenham, North London",POINT (100.77522 18.776703),POINT (-0.099076 51.509648),soul,7uztWv5UVx4hwcJXCtRyDV
Barbara Lewis,/wiki/Barbara_Lewis,,"Salem, Michigan",POINT (100.77522 18.776703),POINT (-83.606439 42.390489),soul,2UocIcNiHj5n4tj1CnBzRq
Leona Lewis,/wiki/Leona_Lewis,,Islington,POINT (100.77522 18.776703),POINT (-0.101269 51.539064),soul,5lKZWd6HiSCLfnDGrq9RAm
Ramsey Lewis,/wiki/Ramsey_Lewis,,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),soul,7Kfrmups2Z3ncDQmNS5jRc
